type,unit,amount,FY
university unit,President,2.512,2012
university unit,ATTORNEY GENERAL,3.287,2012
university unit,PROVOST,5.983,2012
university unit,PLANNING & BUDGETING,4.28,2012
university unit,MINORITY AFFAIRS,6.897,2012
university unit,LIBRARIES,30.203,2012
university unit,UW FINANCE&FACILITIES,119.018,2012
university unit,HUMAN RESOURCES,9.277,2012
university unit,UW INFO TECH,42.781,2012
university unit,STUDENT LIFE,17.804,2012
university unit,EXTERNAL AFFAIRS,4.871,2012
university unit,DEVELOPMENT,5.898,2012
university unit,RESEARCH,8.713,2012
university unit,CENTER FOR COMMERCIALIZATION,0.773,2012
university unit,EDUCATIONAL OUTREACH,2.168,2012
university unit,GRADUATE SCHOOL,2.853,2012
university unit,UNDERGRAD ACAD AFFAIRS,4.638,2012
university unit,HEALTH SCIENCES ADMIN,11.18,2012
university unit,MEDICAL AFFAIRS,0.909,2012
university unit,Debt Service and/or Transfers,77.767,2012
academic unit,BUILT ENVIRONMENTS,8.664,2012
academic unit,COLL ARTS & SCIENCES,151.527,2012
academic unit,FOSTER BUSINESS SCHOOL,22.808,2012
academic unit,COLLEGE OF EDUCATION,10.472,2012
academic unit,COLLEGE OF ENGINEERING,53.629,2012
academic unit,COLLEGE OF ENVIRONMENT,34.898,2012
academic unit,THE INFORMATION SCHOOL,4.204,2012
academic unit,SCHOOL OF LAW,14.12,2012
academic unit,EVANS SCH OF PUBLIC AF,4.266,2012
academic unit,SCHOOL OF SOCIAL WORK,7.373,2012
academic unit,SCHOOL OF DENTISTRY,14.455,2012
academic unit,SCHOOL OF MEDICINE,112.541,2012
academic unit,SCHOOL OF NURSING,10.243,2012
academic unit,SCHOOL OF PHARMACY,8.372,2012
academic unit,SCH OF PUBLIC HEALTH,16.885,2012
academic unit,MEDICAL CENTERS,12.45,2012
university unit,President,2,2013
university unit,ATTORNEY GENERAL,3,2013
university unit,PROVOST,6,2013
university unit,PLANNING & BUDGETING,4,2013
university unit,MINORITY AFFAIRS,7,2013
university unit,LIBRARIES,33,2013
university unit,UW FINANCE&FACILITIES,120,2013
university unit,HUMAN RESOURCES,9,2013
university unit,UW INFO TECH,42,2013
university unit,STUDENT LIFE,20,2013
university unit,EXTERNAL AFFAIRS,5,2013
university unit,DEVELOPMENT,8,2013
university unit,RESEARCH,12,2013
university unit,CENTER FOR COMMERCIALIZATION,1,2013
university unit,EDUCATIONAL OUTREACH,2,2013
university unit,GRADUATE SCHOOL,7,2013
university unit,UNDERGRAD ACAD AFFAIRS,8,2013
university unit,HEALTH SCIENCES ADMIN,15,2013
university unit,MEDICAL AFFAIRS,1,2013
university unit,Debt Service and/or Transfers,78,2013
academic unit,BUILT ENVIRONMENTS,9.147009,2013
academic unit,COLL ARTS & SCIENCES,162.550107,2013
academic unit,FOSTER BUSINESS SCHOOL,24.346572,2013
academic unit,COLLEGE OF EDUCATION,11.585784,2013
academic unit,COLLEGE OF ENGINEERING,58.262288,2013
academic unit,COLLEGE OF ENVIRONMENT,36.571037,2013
academic unit,THE INFORMATION SCHOOL,4.412023,2013
academic unit,SCHOOL OF LAW,15.029605,2013
academic unit,EVANS SCH OF PUBLIC AF,4.830436,2013
academic unit,SCHOOL OF SOCIAL WORK,7.775477,2013
academic unit,SCHOOL OF DENTISTRY,15.54094,2013
academic unit,SCHOOL OF MEDICINE,119.111818,2013
academic unit,SCHOOL OF NURSING,10.782827,2013
academic unit,SCHOOL OF PHARMACY,9.784103,2013
academic unit,SCH OF PUBLIC HEALTH,18.346416,2013
academic unit,MEDICAL CENTERS,12.449885,2013
university unit,President,3,2014
university unit,ATTORNEY GENERAL,3,2014
university unit,PROVOST,6,2014
university unit,PLANNING & BUDGETING,4,2014
university unit,MINORITY AFFAIRS,7,2014
university unit,LIBRARIES,34,2014
university unit,UW FINANCE&FACILITIES,119,2014
university unit,HUMAN RESOURCES,10,2014
university unit,UW INFO TECH,46,2014
university unit,STUDENT LIFE,20,2014
university unit,EXTERNAL AFFAIRS,5,2014
university unit,DEVELOPMENT,9,2014
university unit,RESEARCH,12,2014
university unit,CENTER FOR COMMERCIALIZATION,1,2014
university unit,EDUCATIONAL OUTREACH,2,2014
university unit,GRADUATE SCHOOL,7,2014
university unit,UNDERGRAD ACAD AFFAIRS,8,2014
university unit,HEALTH SCIENCES ADMIN,15,2014
university unit,MEDICAL AFFAIRS,1,2014
university unit,Debt Service and/or Transfers,74,2014
academic unit,BUILT ENVIRONMENTS,8,2014
academic unit,COLL ARTS & SCIENCES,175,2014
academic unit,FOSTER BUSINESS SCHOOL,26,2014
academic unit,COLLEGE OF EDUCATION,13,2014
academic unit,COLLEGE OF ENGINEERING,62,2014
academic unit,COLLEGE OF ENVIRONMENT,39,2014
academic unit,THE INFORMATION SCHOOL,5,2014
academic unit,SCHOOL OF LAW,16,2014
academic unit,EVANS SCH OF PUBLIC AF,5,2014
academic unit,SCHOOL OF SOCIAL WORK,8,2014
