President,2,2013
ATTORNEY GENERAL,3,2013
PROVOST,6,2013
PLANNING & BUDGETING,4,2013
MINORITY AFFAIRS,7,2013
LIBRARIES,33,2013
UW FINANCE&FACILITIES,120,2013
HUMAN RESOURCES,9,2013
UW INFO TECH,42,2013
STUDENT LIFE,20,2013
EXTERNAL AFFAIRS,5,2013
DEVELOPMENT,8,2013
RESEARCH,12,2013
CENTER FOR COMMERCIALIZATION,1,2013
EDUCATIONAL OUTREACH,2,2013
GRADUATE SCHOOL,7,2013
UNDERGRAD ACAD AFFAIRS,8,2013
HEALTH SCIENCES ADMIN,15,2013
MEDICAL AFFAIRS,1,2013
University Unit Subtotal,304,2013
CENTRAL Subtotal,55,2013
Debt Service and/or Transfers,78,2013
UW Seattle Total,742,2013
,0,
BUILT ENVIRONMENTS,9.147009,2013
COLL ARTS & SCIENCES,162.550107,2013
FOSTER BUSINESS SCHOOL,24.346572,2013
COLLEGE OF EDUCATION,11.585784,2013
COLLEGE OF ENGINEERING,58.262288,2013
COLLEGE OF ENVIRONMENT,36.571037,2013
THE INFORMATION SCHOOL,4.412023,2013
SCHOOL OF LAW,15.029605,2013
EVANS SCH OF PUBLIC AF,4.830436,2013
SCHOOL OF SOCIAL WORK,7.775477,2013
SCHOOL OF DENTISTRY,15.54094,2013
SCHOOL OF MEDICINE,119.111818,2013
SCHOOL OF NURSING,10.782827,2013
SCHOOL OF PHARMACY,9.784103,2013
SCH OF PUBLIC HEALTH,18.346416,2013
MEDICAL CENTERS,12.449885,2013
UW Seattle Total,520.526327,2013
